text_idx,gt_rank,recall@1,precision@1,recall@5,precision@5,recall@10,precision@10,recall@50,precision@50
1,462,0,0.0,0,0.0,0,0.0,0,0.0
1,366,0,0.0,0,0.0,0,0.0,0,0.0
1,293,0,0.0,0,0.0,0,0.0,0,0.0
1,201,0,0.0,0,0.0,0,0.0,0,0.0
1,58,0,0.0,0,0.0,0,0.0,0,0.0
15,2557,0,0.0,0,0.0,0,0.0,0,0.0
15,1282,0,0.0,0,0.0,0,0.0,0,0.0
15,189,0,0.0,0,0.0,0,0.0,0,0.0
15,720,0,0.0,0,0.0,0,0.0,0,0.0
15,399,0,0.0,0,0.0,0,0.0,0,0.0
30,527,0,0.0,0,0.0,0,0.0,0,0.0
30,455,0,0.0,0,0.0,0,0.0,0,0.0
30,59,0,0.0,0,0.0,0,0.0,0,0.0
30,915,0,0.0,0,0.0,0,0.0,0,0.0
30,914,0,0.0,0,0.0,0,0.0,0,0.0
40,257,0,0.0,0,0.0,0,0.0,0,0.0
40,81,0,0.0,0,0.0,0,0.0,0,0.0
40,554,0,0.0,0,0.0,0,0.0,0,0.0
40,628,0,0.0,0,0.0,0,0.0,0,0.0
40,419,0,0.0,0,0.0,0,0.0,0,0.0
52,2896,0,0.0,0,0.0,0,0.0,0,0.0
52,982,0,0.0,0,0.0,0,0.0,0,0.0
52,618,0,0.0,0,0.0,0,0.0,0,0.0
52,796,0,0.0,0,0.0,0,0.0,0,0.0
52,567,0,0.0,0,0.0,0,0.0,0,0.0
59,1602,0,0.0,0,0.0,0,0.0,0,0.0
59,3341,0,0.0,0,0.0,0,0.0,0,0.0
59,852,0,0.0,0,0.0,0,0.0,0,0.0
59,93,0,0.0,0,0.0,0,0.0,0,0.0
59,823,0,0.0,0,0.0,0,0.0,0,0.0
70,1076,0,0.0,0,0.0,0,0.0,0,0.0
70,2887,0,0.0,0,0.0,0,0.0,0,0.0
70,79,0,0.0,0,0.0,0,0.0,0,0.0
70,863,0,0.0,0,0.0,0,0.0,0,0.0
70,424,0,0.0,0,0.0,0,0.0,0,0.0
98,1563,0,0.0,0,0.0,0,0.0,0,0.0
98,1412,0,0.0,0,0.0,0,0.0,0,0.0
98,970,0,0.0,0,0.0,0,0.0,0,0.0
98,1264,0,0.0,0,0.0,0,0.0,0,0.0
98,926,0,0.0,0,0.0,0,0.0,0,0.0
108,397,0,0.0,0,0.0,0,0.0,0,0.0
108,554,0,0.0,0,0.0,0,0.0,0,0.0
108,507,0,0.0,0,0.0,0,0.0,0,0.0
108,460,0,0.0,0,0.0,0,0.0,0,0.0
108,383,0,0.0,0,0.0,0,0.0,0,0.0
120,403,0,0.0,0,0.0,0,0.0,0,0.0
120,807,0,0.0,0,0.0,0,0.0,0,0.0
120,658,0,0.0,0,0.0,0,0.0,0,0.0
120,383,0,0.0,0,0.0,0,0.0,0,0.0
120,500,0,0.0,0,0.0,0,0.0,0,0.0
121,362,0,0.0,0,0.0,0,0.0,0,0.0
121,375,0,0.0,0,0.0,0,0.0,0,0.0
121,362,0,0.0,0,0.0,0,0.0,0,0.0
121,437,0,0.0,0,0.0,0,0.0,0,0.0
121,486,0,0.0,0,0.0,0,0.0,0,0.0
123,366,0,0.0,0,0.0,0,0.0,0,0.0
123,3021,0,0.0,0,0.0,0,0.0,0,0.0
123,1399,0,0.0,0,0.0,0,0.0,0,0.0
123,3904,0,0.0,0,0.0,0,0.0,0,0.0
123,2540,0,0.0,0,0.0,0,0.0,0,0.0
126,377,0,0.0,0,0.0,0,0.0,0,0.0
126,66,0,0.0,0,0.0,0,0.0,0,0.0
126,510,0,0.0,0,0.0,0,0.0,0,0.0
126,395,0,0.0,0,0.0,0,0.0,0,0.0
126,450,0,0.0,0,0.0,0,0.0,0,0.0
129,289,0,0.0,0,0.0,0,0.0,0,0.0
